source_dataset,target_dataset,task,path
manual.commercial.ihsMei,clean.commercial.ihsMeiRejected,IhsMeiTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/commercial/ihs/IhsMeiTask.scala
manual.commercial.ihsPmi,clean.commercial.ihsPmi,IhsPmiTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/commercial/ihs/IhsPmiTask.scala
manual.commercial.ihsPmi,clean.commercial.ihsPmiRejected,IhsPmiTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/commercial/ihs/IhsPmiTask.scala
manual.commercial.ihsVehicleParkDensity,clean.commercial.ihsVehicleParkDensity,IhsVehicleParcDensityTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/commercial/ihs/IhsVehicleParcDensityTask.scala
manual.commercial.ihsVehicleParkDensity,clean.commercial.ihsVehicleParkDensityRejected,IhsVehicleParcDensityTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/commercial/ihs/IhsVehicleParcDensityTask.scala
manual.commercial.ihsVehiclePark,clean.commercial.ihsVehiclePark,IhsVehicleParkTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/commercial/ihs/IhsVehicleParkTask.scala
manual.commercial.ihsVehiclePark,clean.commercial.ihsVehicleParkRejected,IhsVehicleParkTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/commercial/ihs/IhsVehicleParkTask.scala
manual.commercial.ihsVehicleProductionMonthly,clean.commercial.ihsVehicleProductionMonthly,IhsVehicleProductionMonthlyTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/commercial/ihs/IhsVehicleProductionMonthlyTask.scala
manual.commercial.ihsVehicleProductionMonthly,clean.commercial.ihsVehicleProductionMonthlyRejected,IhsVehicleProductionMonthlyTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/commercial/ihs/IhsVehicleProductionMonthlyTask.scala
manual.commercial.ihsVehicleProductionQuarterly,clean.commercial.ihsVehicleProductionQuarterly,IhsVehicleProductionQuarterlyTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/commercial/ihs/IhsVehicleProductionQuarterlyTask.scala
manual.commercial.ihsVehicleProductionQuarterly,clean.commercial.ihsVehicleProductionQuarterlyRejected,IhsVehicleProductionQuarterlyTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/commercial/ihs/IhsVehicleProductionQuarterlyTask.scala
manual.commercial.ihsVehicleSalesMonthly,clean.commercial.ihsVehicleSalesMonthly,IhsVehicleSalesMonthlyTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/commercial/ihs/IhsVehicleSalesMonthlyTask.scala
manual.commercial.ihsVehicleSalesMonthly,clean.commercial.ihsVehicleSalesMonthlyRejected,IhsVehicleSalesMonthlyTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/commercial/ihs/IhsVehicleSalesMonthlyTask.scala
manual.commercial.ihsVehicleSalesYearly,clean.commercial.ihsVehicleSalesYearly,IhsVehicleSalesYearlyTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/commercial/ihs/IhsVehicleSalesYearlyTask.scala
manual.commercial.ihsVehicleSalesYearly,clean.commercial.ihsVehicleSalesYearlyRejected,IhsVehicleSalesYearlyTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/commercial/ihs/IhsVehicleSalesYearlyTask.scala
raw.commercial.inrixRoadFreightIndicators,clean.commercial.inrixRoadFreightIndicators,RoadFreightIndicatorsTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/commercial/inrix/RoadFreightIndicatorsTask.scala
raw.commercial.inrixRoadFreightIndicators,clean.commercial.inrixRoadFreightIndicatorsRejected,RoadFreightIndicatorsTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/commercial/inrix/RoadFreightIndicatorsTask.scala
raw.commercial.sellOut,clean.commercial.sellOut,CommercialSellOutTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/commercial/sellout/CommercialSellOutTask.scala
