source_dataset,target_dataset,task,path
ped.b2b,ped.pricinganalytics,PricingAnalyticsTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/pricinganalytics/PricingAnalyticsTask.scala
ped.b2c,ped.pricinganalytics,PricingAnalyticsTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/pricinganalytics/PricingAnalyticsTask.scala
ped.netSalesWeighting,ped.pricinganalytics,PricingAnalyticsTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/pricinganalytics/PricingAnalyticsTask.scala
ped.tireMaster,ped.pricinganalytics,PricingAnalyticsTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/pricinganalytics/PricingAnalyticsTask.scala
mdm.countryHierarchy,ped.pricinganalytics,PricingAnalyticsTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/pricinganalytics/PricingAnalyticsTask.scala
mdm.consumerSizeMaster,ped.pricinganalytics,PricingAnalyticsTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/pricinganalytics/PricingAnalyticsTask.scala
mdm.marketShareConsumerReplacementSemester,ped.pricinganalytics,PricingAnalyticsTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/pricinganalytics/PricingAnalyticsTask.scala
ped.pricingAnalyticsWeeklyPlatformReporting,ped.pricinganalyticsbasketsizetype,PricingAnalyticsBasketSizeTypeTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/pricinganalyticsbasketsizetype/PricingAnalyticsBasketSizeTypeTask.scala
ped.consumerNetSalesBasketSizeTypeCoverage,ped.pricinganalyticsbasketsizetype,PricingAnalyticsBasketSizeTypeTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/pricinganalyticsbasketsizetype/PricingAnalyticsBasketSizeTypeTask.scala
ped.consumerMarketShareBasketSizeTypeCoverage,ped.pricinganalyticsbasketsizetype,PricingAnalyticsBasketSizeTypeTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/pricinganalyticsbasketsizetype/PricingAnalyticsBasketSizeTypeTask.scala
